"send_id","recv_id","email_title","email_contents","step_basic_cd","step_detail_cd","error_cd","error_msg","reg_time"
'neokim.api@gmail.com','neokim.api@gmail.com','구글 이메일 제목(06-27-1)','구글 이메일 내용(06-27-1)',"1","(875,356)","0000",뉴스탭 이동 성공,"2023-06-28 23:23:12"
'neokim.api@gmail.com','neokim.api@gmail.com','구글 이메일 제목(06-27-1)','구글 이메일 내용(06-27-1)',"1","(875,356)","0000",뉴스탭 이동 성공,"2023-06-28 23:25:59"
'neokim.api@gmail.com','neokim.api@gmail.com','구글 이메일 제목(06-27-1)','구글 이메일 내용(06-27-1)',"1","(875,356)","0000",뉴스탭 이동 성공,"2023-06-28 23:29:09"
'neokim.api@gmail.com','neokim.api@gmail.com','구글 이메일 제목(06-27-1)','구글 이메일 내용(06-27-1)',"1","(875,356)","0000",뉴스탭 이동 성공,"2023-06-28 23:43:56"
'neokim.api@gmail.com','neokim.api@gmail.com','구글 이메일 제목(06-27-1)','구글 이메일 내용(06-27-1)',"1","(875,356)","0000",뉴스탭 이동 성공,"2023-06-28 23:44:42"
'neokim.api@gmail.com','neokim.api@gmail.com','구글 이메일 제목(06-27-1)','구글 이메일 내용(06-27-1)',"1","(875,356)","0000",뉴스탭 이동 성공,"2023-06-28 23:55:02"
'neokim.api@gmail.com','neokim.api@gmail.com','구글 이메일 제목(06-27-1)','구글 이메일 내용(06-27-1)',"1","(875,356)","0000",뉴스탭 이동 성공,"2023-06-29 00:11:16"
'neokim.api@gmail.com','neokim.api@gmail.com','구글 이메일 제목(06-27-1)','구글 이메일 내용(06-27-1)',"1","(875,356)","0000",뉴스탭 이동 성공,"2023-06-29 00:28:16"
'neokim.api@gmail.com','neokim.api@gmail.com','구글 이메일 제목(06-27-1)','구글 이메일 내용(06-27-1)',"1","(875,356)","0000",뉴스탭 이동 성공,"2023-06-29 00:29:28"
'gmail_api','neokim.api@gmail.com','구글 이메일 제목(06-27-1)','구글 이메일 내용(06-27-1)',"1","(875,356)","0000",뉴스탭 이동 성공,"2023-06-29 00:33:27"
'neokim.api@gmail.com','neokim.api@gmail.com','구글 이메일 제목(06-27-1)','구글 이메일 내용(06-27-1)',"1","(875,356)","0000",뉴스탭 이동 성공,"2023-06-29 00:35:59"
'neokim.api@gmail.com','neokim.api@gmail.com','구글 이메일 제목(06-27-1)','구글 이메일 내용(06-27-1)',"1","(875,356)","0000",뉴스탭 이동 성공,"2023-06-29 00:41:50"
'neokim.api@gmail.com','neokim.api@gmail.com','구글 이메일 제목(06-27-1)','구글 이메일 내용(06-27-1)',"1","(875,356)","0000",뉴스탭 이동 성공,"2023-06-29 00:42:26"
'neokim.api@gmail.com','neokim.api@gmail.com','구글 이메일 제목(06-27-1)','구글 이메일 내용(06-27-1)',"1","(875,356)","0000",뉴스탭 이동 성공,"2023-06-29 00:45:57"
'neokim.api@gmail.com','neokim.api@gmail.com','구글 이메일 제목(06-27-1)','구글 이메일 내용(06-27-1)',"1","(875,356)","0000",뉴스탭 이동 성공,"2023-06-29 00:48:07"
'neokim.api@gmail.com','neokim.api@gmail.com','구글 이메일 제목(06-27-1)','구글 이메일 내용(06-27-1)',"1","(875,356)","0000",뉴스탭 이동 성공,"2023-06-29 00:50:50"
'neokim.api@gmail.com','neokim.api@gmail.com','구글 이메일 제목(06-27-1)','구글 이메일 내용(06-27-1)',"1","(875,356)","0000",뉴스탭 이동 성공,"2023-06-29 00:52:14"
'neokim.api@gmail.com','neokim.api@gmail.com','구글 이메일 제목(06-27-1)','구글 이메일 내용(06-27-1)',"1","(875,356)","0000",뉴스탭 이동 성공,"2023-06-29 00:55:08"
'neokim.api@gmail.com','neokim.api@gmail.com','구글 이메일 제목(06-27-1)','구글 이메일 내용(06-27-1)',"1","(875,356)","0000",뉴스탭 이동 성공,"2023-06-29 00:56:36"
'neokim.api@gmail.com','neokim.api@gmail.com','구글 이메일 제목(06-27-1)','구글 이메일 내용(06-27-1)',"1","(875,356)","0000",뉴스탭 이동 성공,"2023-06-29 00:59:38"
'neokim.api@gmail.com','neokim.api@gmail.com','구글 이메일 제목(06-27-1)','구글 이메일 내용(06-27-1)',"1","(875,356)","0000",뉴스탭 이동 성공,"2023-06-29 01:00:36"
'neokim.api@gmail.com','neokim.api@gmail.com','구글 이메일 제목(06-27-1)','구글 이메일 내용(06-27-1)',"1","(875,356)","0000",뉴스탭 이동 성공,"2023-06-29 01:02:14"
'neokim.api@gmail.com','neokim.api@gmail.com','구글 이메일 제목(06-27-1)','구글 이메일 내용(06-27-1)',"1","(875,356)","0000",뉴스탭 이동 성공,"2023-06-29 01:03:31"
'neokim.api@gmail.com','neokim.api@gmail.com','구글 이메일 제목(06-27-1)','구글 이메일 내용(06-27-1)',"1","(875,356)","0000",뉴스탭 이동 성공,"2023-06-29 01:04:45"
'neokim.api@gmail.com','neokim.api@gmail.com','구글 이메일 제목(06-27-1)','구글 이메일 내용(06-27-1)',"1","(875,356)","0000",뉴스탭 이동 성공,"2023-06-29 01:06:22"
'neokim.api@gmail.com','neokim.api@gmail.com','구글 이메일 제목(06-27-1)','구글 이메일 내용(06-27-1)',"1","(875,356)","0000",뉴스탭 이동 성공,"2023-06-29 01:08:44"
neokim.api@gmail.com,neokim.api@gmail.com,'구글 이메일 제목(06-27-1)','구글 이메일 내용(06-27-1)',"1","(875,356)","0000",뉴스탭 이동 성공,"2023-06-29 01:09:55"
neokim.api@gmail.com,neokim.api@gmail.com,'구글 이메일 제목(06-27-1)','구글 이메일 내용(06-27-1)',"1","(875,356)","0000",뉴스탭 이동 성공,"2023-06-29 01:11:44"
neokim.api@gmail.com,neokim.api@gmail.com,'구글 이메일 제목(06-27-1)','구글 이메일 내용(06-27-1)',"2","(678,454)","0000",정치 헤드라인 뉴스 이동 성공,"2023-06-29 10:33:04"
neokim.api@gmail.com,neokim.api@gmail.com,'구글 이메일 제목(06-27-1)','구글 이메일 내용(06-27-1)',"1","(875,356)","0000",뉴스탭 이동 성공,"2023-06-29 11:18:32"
"","","","","1","(875,356)","0000",뉴스탭 이동 성공,"2023-06-29 11:25:00"
"","","","","2","(385,249)","0000",정치탭 이동 성공,"2023-06-29 11:25:02"
"","","","","2","(678,454)","0000",정치 헤드라인 뉴스 이동 성공,"2023-06-29 11:25:04"
"","","","","1","(875,356)","0000",뉴스탭 이동 성공,"2023-06-29 11:27:29"
"","","","","1","(875,356)","0000",뉴스탭 이동 성공,"2023-06-29 13:42:34"
"","","","","1","(875,356)","9999",뉴스탭 이동 실패,"2023-06-29 13:42:35"
"","","","","1","(875,356)","0000",뉴스탭 이동 성공,"2023-06-29 13:44:13"
"","","","","1","(875,356)","0000",뉴스탭 이동 성공,"2023-06-29 14:51:38"
"","","","","1","(875,356)","0000",뉴스탭 이동 성공,"2023-06-29 14:52:53"
"","","","","1","(875,356)","0000",뉴스탭 이동 성공,"2023-06-29 14:59:34"
"","","","","2","(385,249)","0000",정치탭 이동 성공,"2023-06-29 14:59:36"
"","","","","2","(678,454)","0000",정치 헤드라인 뉴스 이동 성공,"2023-06-29 14:59:38"
"","","","","1","(875,356)","0000",뉴스탭 이동 성공,"2023-06-29 15:12:18"
"","","","","2","(385,249)","0000",정치탭 이동 성공,"2023-06-29 15:12:20"
"","","","","2","(678,454)","0000",정치 헤드라인 뉴스 이동 성공,"2023-06-29 15:12:22"
neokim.api@gmail.com,neokim.api@gmail.com,'구글 이메일 제목(06-27-1)','구글 이메일 내용(06-27-1)',"1","(875,356)","0000",뉴스탭 이동 성공,"2023-06-29 16:27:14"
neokim.api@gmail.com,neokim.api@gmail.com,'구글 이메일 제목(06-27-1)','구글 이메일 내용(06-27-1)',"2","(385,249)","0000",정치탭 이동 성공,"2023-06-29 16:27:16"
neokim.api@gmail.com,neokim.api@gmail.com,'구글 이메일 제목(06-27-1)','구글 이메일 내용(06-27-1)',"2","(678,454)","0000",정치 헤드라인 뉴스 이동 성공,"2023-06-29 16:27:18"
neokim.api@gmail.com,neokim.api@gmail.com,'구글 이메일 제목(06-27-1)','구글 이메일 내용(06-27-1)',"1","(875,356)","0000",뉴스탭 이동 성공,"2023-06-29 16:49:18"
neokim.api@gmail.com,neokim.api@gmail.com,'구글 이메일 제목(06-27-1)','구글 이메일 내용(06-27-1)',"2","(385,249)","0000",정치탭 이동 성공,"2023-06-29 16:49:20"
neokim.api@gmail.com,neokim.api@gmail.com,'구글 이메일 제목(06-27-1)','구글 이메일 내용(06-27-1)',"2","(678,454)","0000",정치 헤드라인 뉴스 이동 성공,"2023-06-29 16:49:22"
neokim.api@gmail.com,neokim.api@gmail.com,'구글 이메일 제목(06-27-1)','구글 이메일 내용(06-27-1)',"1","(875,356)","0000",뉴스탭 이동 성공,"2023-06-29 16:51:15"
neokim.api@gmail.com,neokim.api@gmail.com,'구글 이메일 제목(06-27-1)','구글 이메일 내용(06-27-1)',"2","(385,249)","0000",정치탭 이동 성공,"2023-06-29 16:51:17"
neokim.api@gmail.com,neokim.api@gmail.com,'구글 이메일 제목(06-27-1)','구글 이메일 내용(06-27-1)',"3","(678,454)","0000",정치 헤드라인 뉴스 이동 성공,"2023-06-29 16:51:19"
neokim.api@gmail.com,neokim.api@gmail.com,'구글 이메일 제목(06-27-1)','구글 이메일 내용(06-27-1)',"1","(875,356)","0000",뉴스탭 이동 성공,"2023-06-29 17:36:04"
neokim.api@gmail.com,neokim.api@gmail.com,'구글 이메일 제목(06-27-1)','구글 이메일 내용(06-27-1)',"2","(385,249)","0000",정치탭 이동 성공,"2023-06-29 17:36:06"
neokim.api@gmail.com,neokim.api@gmail.com,'구글 이메일 제목(06-27-1)','구글 이메일 내용(06-27-1)',"3","(678,454)","0000",정치 헤드라인 뉴스 이동 성공,"2023-06-29 17:36:08"
neokim.api@gmail.com,neokim.api@gmail.com,'구글 이메일 제목(06-27-1)','구글 이메일 내용(06-27-1)',"1","(875,356)","0000",뉴스탭 이동 성공,"2023-06-29 20:36:15"
neokim.api@gmail.com,neokim.api@gmail.com,'구글 이메일 제목(06-27-1)','구글 이메일 내용(06-27-1)',"2","(385,249)","0000",정치탭 이동 성공,"2023-06-29 20:36:17"
neokim.api@gmail.com,neokim.api@gmail.com,'구글 이메일 제목(06-27-1)','구글 이메일 내용(06-27-1)',"3","(678,454)","0000",정치 헤드라인 뉴스 이동 성공,"2023-06-29 20:36:19"
neokim.api@gmail.com,neokim.api@gmail.com,'구글 이메일 제목(06-27-1)','구글 이메일 내용(06-27-1)',"1","(875,356)","0000",뉴스탭 이동 성공,"2023-06-29 20:36:33"
